请告诉我最近49分钟的所有实时数据。	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 49 ' ) ;
请告诉我最近57分钟的所有实时数据。	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 57 ' ) ;
展示最近9条实时数据。	select * from t_rt_data order by t_rt_data.Id desc limit 9 ;
展示最近8条实时数据。	select * from t_rt_data order by t_rt_data.Id desc limit 8 ;
给我看看最近采集到的6条变量的数据。	select * from t_rt_data order by t_rt_data.Id desc limit 6 ;
给我看看最近采集到的100条变量的数据。	select * from t_rt_data order by t_rt_data.Id desc limit 100 ;
调出变量塔301顶压力记录的最新的3条数据。	select * from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_PI311.PV' order by t_rt_data.Id desc limit 3 ;
调出变量烧焦罐上部温度指示的最新的100条数据。	select * from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI142.PV' order by t_rt_data.Id desc limit 100 ;
调出变量V403压力的最新的9条数据。	select * from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PIC_40302' order by t_rt_data.Id desc limit 9 ;
调出变量吸收塔一中回流温度的最新的100条数据。	select * from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI412.PV' order by t_rt_data.Id desc limit 100 ;
请调出今天的前6条实时数据。	select * from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) order by t_rt_data.Id asc limit 6 ;
请调出今天的前100条实时数据。	select * from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) order by t_rt_data.Id asc limit 100 ;
今天早晨1点55分到5点33分的变量数据是什么样？	select * from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 1 : 55 ' ) and addtime ( curdate ( ) , ' 5 : 33 ' ) ;
今天早晨7点5分到11点46分的变量数据是什么样？	select * from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 7 : 5 ' ) and addtime ( curdate ( ) , ' 11 : 46 ' ) ;
今天早晨4点39分到6点31分的变量数据是什么样？	select * from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 4 : 39 ' ) and addtime ( curdate ( ) , ' 6 : 31 ' ) ;
今天早晨2点45分到4点55分的变量数据是什么样？	select * from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 2 : 45 ' ) and addtime ( curdate ( ) , ' 4 : 55 ' ) ;
今天早晨3点15分到9点51分的变量数据是什么样？	select * from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 3 : 15 ' ) and addtime ( curdate ( ) , ' 9 : 51 ' ) ;
今天早晨8点5分到9点20分的变量数据是什么样？	select * from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 8 : 5 ' ) and addtime ( curdate ( ) , ' 9 : 20 ' ) ;
今天早晨2点35分到12点18分的变量数据是什么样？	select * from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 2 : 35 ' ) and addtime ( curdate ( ) , ' 12 : 18 ' ) ;
今天早晨4点52分到9点59分的变量数据是什么样？	select * from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 4 : 52 ' ) and addtime ( curdate ( ) , ' 9 : 59 ' ) ;
最近23天的数据是多少？	select * from t_rt_data where t_rt_data.Result_time > adddate ( curdate ( ) , - 23 ) ;
最近30天的数据是多少？	select * from t_rt_data where t_rt_data.Result_time > adddate ( curdate ( ) , - 30 ) ;
今天采集了多少数据了？	select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) ;
帮我看看今天有多少新的位点数据。	select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) ;
上一个采样数据是在几点？	select t_rt_data.Result_time from t_rt_data order by t_rt_data.Id desc limit 1 ;
