请告诉我最近49分钟的所有实时数据。	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 49 ' ) ;
展示最近9条实时数据。	select * from t_rt_data order by t_rt_data.Id desc limit 9 ;
给我看看最近采集到的6条变量的数据。	select * from t_rt_data order by t_rt_data.Id desc limit 6 ;
调出变量塔301顶压力记录的最新的3条数据。	select * from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_PI311.PV' order by t_rt_data.Id desc limit 3 ;
请调出今天的前6条实时数据。	select * from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) order by t_rt_data.Id asc limit 6 ;
今天早晨1点55分到5点33分的变量数据是什么样？	select * from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 1 : 55 ' ) and addtime ( curdate ( ) , ' 5 : 33 ' ) ;
最近23天的数据是多少？	select * from t_rt_data where t_rt_data.Result_time > adddate ( curdate ( ) , - 23 ) ;
今天采集了多少数据了？	select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) ;
上一个采样数据是在几点？	select t_rt_data.Result_time from t_rt_data order by t_rt_data.Id desc limit 1 ;
最近200次不同的采样时间分别是几点？	select distinct t_rt_data.Result_time from t_rt_data order by t_rt_data.Result_time desc limit 200 ;
实时数据表中最后两行的时间差是多少？	select timediff (  ( select t_rt_data.Result_time from t_rt_data order by t_rt_data.Id desc limit 1 ) , ( select t_rt_data.Result_time from t_rt_data order by t_rt_data.Id desc limit 1 , 1 )  ) ;
最近2条位点V403压力的采样数据的采样时间差是多少？	select timediff (  ( select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PIC_40302' order by t_rt_data.Id desc limit 1 ) , ( select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PIC_40302' order by t_rt_data.Id desc limit 1 , 1 )  ) ;
最近1条采样数据的采样时间距离现在有多久了？	select timediff ( now ( ) , t_rt_data.Result_time ) from t_rt_data order by t_rt_data.Id desc limit 1 ;
今天早上2点以后的第3个实时数据是几点采集到的？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Result_time > addtime ( curdate ( ) , ' 2 : 0 ' ) limit 3 , 1 ;
请展示昨天的最后2条实时数据。	select * from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) order by t_rt_data.Id desc limit 2 ;
请告诉我前天的最后2个不同的采样时间点。	select distinct t_rt_data.Result_time from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 2 ) order by t_rt_data.Result_time desc limit 2 ;
从昨天中午3点到现在一共有多少条实时数据？	select count ( * ) from t_rt_data where t_rt_data.Result_time > addtime ( adddate ( curdate ( ) , - 1 ) , ' 3 : 0 ' ) ;
实时数据库中总共有几个不同的位点？	select count ( distinct t_rt_data.Tag_code ) from t_rt_data ;
前天和昨天采集到的数据一样多吗？	select ( select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 2 )  ) = ( select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) 
今天一共采集了多少数据？	select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) ;
展示过去28分钟V311压力的数据。	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 28 ' ) and t_rt_data.Tag_code = '2B2LXCZ_0211PI_30102' ;
今天采集的数据量到13了吗？	select ( select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( )  ) > 13 ;
今天有多少不同时间采集的数据？	select count ( distinct t_rt_data.Result_time ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) ;
今天的第1条数据是在几点采集到的？	select t_rt_data.Result_time from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) order by t_rt_data.Id asc limit 1 ;
最近19天内总的实时数据数目有没有6条？	select ( select count ( * ) from t_rt_data where t_rt_data.Result_time > adddate ( curdate ( ) , - 19 )  ) > 6 ;
今天总共有多少个位点采集到了数据？	select count ( distinct t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) ;
今天采集到数据的变量和22天前的一样多吗？	select ( select count ( distinct t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( )  ) = ( select count ( distinct t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 22 )  ) ;
今天5点到7点和7点到11点采集到的数据一样多吗？	select ( select count ( * ) from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 5 : 0 ' ) and addtime ( curdate ( ) , ' 7 : 0 ' )  ) = ( select count ( * ) from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 7 : 0 ' ) and addtime ( curdate ( ) , ' 11 : 0 ' )  ) ;
E106出口温度最近一个采样值是多少？	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_11003' order by t_rt_data.Id desc limit 1 ;
再生器二密相藏量调节这个变量最近一次记录到数值是什么时候？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_WIC222.PV' order by t_rt_data.Id desc limit 1 ;
7个小时内有多少个再生器二密相藏量调节的数据记录？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_WIC222.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 7 : 0 ' ) ;
请查询今天T101底温的前2条记录。	select * from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_10904' and date ( t_rt_data.Result_time ) = curdate ( ) order by t_rt_data.Id limit 2 ;
告诉我昨天汽提段藏量的最大的3个值是多少。	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_WCA101.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) order by t_rt_data.Result_value desc limit 3 ;
最近42分钟循环氢流量的均值是多少？	select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FI_20302' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 42 ' ) ;
前24分钟里，F201氧含量的最大值是多少？	select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211AI_21901' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 24 ' ) ;
昨天变量稳定塔底重沸器温度调节的均值和今天的平均值相差多少？	select ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TIC402.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) - ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TIC402.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) 
最近10天采集到的数据里，总共有多少条关于循环油浆上返塔流量调节的数据？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_FIC371.PV' and t_rt_data.Result_time > adddate ( curdate ( ) , - 10 ) ;
T304底汽油抽出温度指示最近27天的实时数据中，里面有多少条超过了这27天的平均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI302_3.PV' and t_rt_data.Result_time > adddate ( curdate ( ) , - 27 ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI302_3.PV' and t_rt_data.Result_time > adddate ( curdate ( ) , - 27 )  ) ;
以待生斜管密度在过去96小时数据的平均值为基准，最近25分钟里有多少条数据超过了这个均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_DI226.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' 0 : 25 ' ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_DI226.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 96 : 0 ' )  ) ;
最近1条F204炉出口温度的数据超过它昨天的最大值了吗？	select ( select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TIC_20107' order by t_rt_data.Id desc limit 1 ) > ( select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TIC_20107' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) ;
最近7条回炼油至反应流量的数据有哪些不到它昨天的最小值的？	select * from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_FC205.PV' and t_rt_data.Result_value < ( select min ( t_rt_data.Result_value ) where t_rt_data.Tag_code = '3B2CHLH_0202B_FC205.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) order by t_rt_data.Id desc limit 7 ;
今天重整总进料量的最大值有没有超过昨天重整总进料量的最大值？	select ( select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FICQ_20301' and date ( t_rt_data.Result_time ) = curdate ( )  ) > ( select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FICQ_20301' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) ;
V107回流量这个变量最近一个采样结果超过了它今天的最小值吗？	select ( select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_11202' order by t_rt_data.Id desc limit 1 ) > ( select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_11202' and date ( t_rt_data.Result_time ) = curdate ( )  ) ;
前11小时的数据中，变量V206回流量的数据最大值减去最小值是多少？	select max ( t_rt_data.Result_value ) - min ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_21602' and t_rt_data.Result_time > addtime ( now ( ) , ' - 11 : 0 ' ) ;
今天上午5点到现在，最大值减去最小值得到结果最小的是哪个位号？	select t_rt_data.Tag_code from t_rt_data where t_rt_data.Result_time > addtime ( curdate ( ) , ' 5 : 0 ' ) group by t_rt_data.Tag_code order by max ( t_rt_data.Result_value ) - min ( t_rt_data.Result_value ) asc limit 1 ;
昨天晚上2点到12点，平均值最小的8个变量分别是什么？	select t_rt_data.Tag_code from t_rt_data where t_rt_data.Result_time between addtime ( adddate ( curdate ( ) , - 1 ) , ' 2 : 0 ' ) and addtime ( adddate ( curdate ( ) , - 1 ) , ' 12 : 0 ' ) group by t_rt_data.Tag_code order by avg ( t_rt_data.Result_value ) asc limit 8 ;
