展示最近9条实时数据。	select * from t_rt_data order by t_rt_data.Id desc limit 9 ;
展示最近8条实时数据。	select * from t_rt_data order by t_rt_data.Id desc limit 8 ;
给我导出最近7条实时数据。	select * from t_rt_data order by t_rt_data.Id desc limit 7 ;
给我导出最近5条实时数据。	select * from t_rt_data order by t_rt_data.Id desc limit 5 ;
调出变量塔301顶压力记录的最新的3条数据。	select * from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_PI311.PV' order by t_rt_data.Id desc limit 3 ;
调出变量烧焦罐上部温度指示的最新的100条数据。	select * from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI142.PV' order by t_rt_data.Id desc limit 100 ;
调出变量V403压力的最新的9条数据。	select * from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PIC_40302' order by t_rt_data.Id desc limit 9 ;
调出变量吸收塔一中回流温度的最新的100条数据。	select * from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI412.PV' order by t_rt_data.Id desc limit 100 ;
展示塔301顶温度调节的最近5条实时数据。	select * from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TIC303.PV' order by t_rt_data.Id desc limit 5 ;
展示V322二次提升氮气流量的最近2条实时数据。	select * from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_30402' order by t_rt_data.Id desc limit 2 ;
展示T101顶温的最近6条实时数据。	select * from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_10903' order by t_rt_data.Id desc limit 6 ;
展示顶循环油返塔温度的最近9条实时数据。	select * from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI372.PV' order by t_rt_data.Id desc limit 9 ;
请调出今天的前6条实时数据。	select * from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) order by t_rt_data.Id asc limit 6 ;
请调出今天的前100条实时数据。	select * from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) order by t_rt_data.Id asc limit 100 ;
今天最早的200条实时数据是多少？	select * from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) order by t_rt_data.Id asc limit 200 ;
今天最早的4条实时数据是多少？	select * from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) order by t_rt_data.Id asc limit 4 ;
最近23天的数据是多少？	select * from t_rt_data where t_rt_data.Result_time > adddate ( curdate ( ) , - 23 ) ;
最近30天的数据是多少？	select * from t_rt_data where t_rt_data.Result_time > adddate ( curdate ( ) , - 30 ) ;
展示最近26天所有的实时数据。	select * from t_rt_data where t_rt_data.Result_time > adddate ( curdate ( ) , - 26 ) ;
展示最近12天所有的实时数据。	select * from t_rt_data where t_rt_data.Result_time > adddate ( curdate ( ) , - 12 ) ;
今天采集了多少数据了？	select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) ;
今天记录的实时数据有多少条？	select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) ;
帮我看看今天有多少新的位点数据。	select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) ;
总共今天采集到多少条数据？	select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) ;
上一个采样数据是在几点？	select t_rt_data.Result_time from t_rt_data order by t_rt_data.Id desc limit 1 ;
表中最后一次数据采集是在什么时候？	select t_rt_data.Result_time from t_rt_data order by t_rt_data.Id desc limit 1 ;
最近200次不同的采样时间分别是几点？	select distinct t_rt_data.Result_time from t_rt_data order by t_rt_data.Result_time desc limit 200 ;
最近6次不同的采样时间分别是几点？	select distinct t_rt_data.Result_time from t_rt_data order by t_rt_data.Result_time desc limit 6 ;
实时数据表中最新的4个不同的采样时间分别是几点？	select distinct t_rt_data.Result_time from t_rt_data order by t_rt_data.Result_time desc limit 4 ;
