R-201A第一反应区上部温控,3B1CHLH_TIC232C.PV,TIC232C
急冷油喷嘴下部温度,3B1CHLH_TI234.PV,TI234
提升管中部温度,3B1CHLH_TI233.PV,TI233
预混合器出口温度控制,3B1CHLH_TIC216.PV,TIC216
二再密相温度控制,3B1CHLH_TIC224.PV,TIC224
烧焦罐下部温度,3B1CHLH_TI227A.PV,TI227A
烧焦罐藏量,3B1CHLH_WI223.PV,WI223
再生器二密相藏量调节,3B1CHLH_WIC222.PV,WIC222
主风出口流量调节,3B1CHLH_FICA5101.PV,FICA5101
沉降器R201汽提段藏量控制,3B1CHLH_WIC212.PV,WIC212
沉降器汽提蒸汽流控,3B1CHLH_FIC211.PV,FIC211
外取热器下部温度,3B1CHLH_TI243.PV,TI243
外取热器中部温度,3B1CHLH_TI242.PV,TI242
容208出中压饱和蒸汽流量,3B1CHLH_FI2814.PV,FI2814
一催V208耗除氧水,3B1CHLH_FIC2813.PV,FIC2813
中压汽包容208液位控制,3B1CHLH_LIC2813.PV,LIC2813
外取热器R-203小流化风流量,3B1CHLH_FI241.PV,FI241
外取热器R-203底部流化风流量,3B1CHLH_FI242.PV,FI242
外取热器返回管流化风流量,3B1CHLH_FI243.PV,FI243
再生斜管密度,3B1CHLH_DI215.PV,DI215
再生外循环管密度,3B1CHLH_DI225.PV,DI225
原料油至提升管喷嘴温度,3B1CHLH_TI278.PV,TI278
换306后蜡油温控,3B1CHLH_TIC353.PV,TIC353
蜡油进料流控,3B1CHLH_FIC3001.PV,FIC3001
燃烧油喷嘴上部温度,3B1CHLH_TI228A.PV,TI228A
辅助燃烧炉至R202入口,3B1CHLH_TI2226A.PV,TI2226A
辅助燃烧炉出口,3B1CHLH_TI2225.PV,TI2225
沉降器(R201)汽提段温度,3B1CHLH_TI215.PV,TI215
再生器(R202)T型快分出口,3B1CHLH_TI223A.PV,TI223A
烟机入口温度,3B1CHLH_TIA5102.PV,TIA5102
再生器(R202)集气室温度,3B1CHLH_TI221.PV,TI221
再生器R202顶部一旋入口,3B1CHLH_TI222A.PV,TI222A
烟机入口再生压力,3B1CHLH_PI5101.PV,PI5101
再生器压力控制,3B1CHLH_PIC5101.PV,PIC5101
双动滑阀南侧阀位指示,3B1CHLH_ZI201.PV,ZI201
双动滑阀北侧阀位指示,3B1CHLH_ZI202.PV,ZI202
再生斜管滑阀压降控制,3B1CHLH_PDIC217.PV,PDIC217
两器压差,3B1CHLH_PDT211A.PV,PDT_211A
提升管反应器(R-201A)顶,3B1CHLH_PI210.PV,PI210
八罐区瓦斯进一催V301瞬时流量,3B1CHLH_FI10201.PV,FI10201
3.5MPa蒸汽至系统压力调节,3B1CHLH_PIC2823.PV,PIC2823
蜡油进料变频调节,3B1CHLH_FIC2115.PV,FIC2115
塔202顶压力限压调节(南）,3B1CHLH_PIC220A.PV,PIC220A
待生斜管滑阀压降调节,3B1CHLH_PDIC227.PV,PDIC227
待生斜管密度,3B1CHLH_DI226.PV,DI226
WV212待生斜管滑阀阀位,3B1CHLH_WZI212.PV,WZI212
再生外循环管滑阀压降,3B1CHLH_PDI228.PV,PDI228
WV222再生外循环滑阀阀位,3B1CHLH_WZI222.PV,WZI222
塔301顶压力记录,3B1CHLH_PI311.PV,PI311
塔301顶冷回流流量调节,3B1CHLH_FIC311.PV,FIC311
塔301顶温度调节,3B1CHLH_TIC303.PV,TIC303
顶循环油返塔温度,3B1CHLH_TI372.PV,TI372
塔301顶循环回流变频-2#泵,3B1CHLH_FIC310B.PV,FIC310B
粗汽油至提升管反应器流控,3B1CHLH_FIC235.PV,FIC235
蒸汽至至提升管反应器流控,3B1CHLH_FIC236.PV,FIC236
稳定塔压力控制,3B1CHLH_PIC402.PV,PIC402
